ssc_code,suburb,urban_area,postcode,state,state_name,type,local_goverment_area,statistic_area,elevation,population,median_income,sqkm,lat,lng,timezone
21237,Ivanhoe,Heidelberg,3079,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,58,12171,45500,5.54,-37.76811,145.04575,Australia/Melbourne
22620,Viewbank,Heidelberg,3084,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,48,6923,35568,4.546,-37.74066,145.09435,Australia/Melbourne
22877,Yallambie,Heidelberg,3085,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,65,4117,42484,2.933,-37.72684,145.09522,Australia/Melbourne
20197,Bellfield,Heidelberg,3081,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,64,1793,27872,0.931,-37.75299,145.03835,Australia/Melbourne
21160,Heidelberg West,Heidelberg,3081,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,72,5545,23660,3.213,-37.73923,145.04522,Australia/Melbourne
21238,Ivanhoe East,Heidelberg,3079,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,57,3815,49452,2.099,-37.77452,145.06287,Australia/Melbourne
21158,Heidelberg,Heidelberg,3084,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,39,6225,43004,2.934,-37.75137,145.07099,Australia/Melbourne
22182,Rosanna,Heidelberg,3084,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,64,8498,38688,3.374,-37.73984,145.07082,Australia/Melbourne
20819,Eaglemont,Heidelberg,3084,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,46,3873,49192,2.207,-37.76315,145.06512,Australia/Melbourne
21159,Heidelberg Heights,Heidelberg,3081,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,78,6087,35672,2.087,-37.74215,145.05347,Australia/Melbourne
21554,Macleod,Heidelberg,3085,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,79,9769,38168,4.571,-37.72083,145.07569,Australia/Melbourne
21096,Greensborough,Watsonia,3088,VIC,Victoria,Major Urban locality,Banyule (City),Greater Melbourne,53,20821,39104,10.254,-37.69977,145.102,Australia/Melbourne
