financial_year,council,Population,premises_residential,premises_nonresidential,premises_with_garbage_service_residential,premises_with_garbage_service_nonresidential,garbage_service_frequency,garbage_collected_total_tonnes,garbage_collected_total_tonnes_estimated,premises_with_kerbside_recycling_service_residential,premises_with_kerbside_recycling_service_nonresidential,kerbside_recycling_service_frequency,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_metal_recycled_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,dropoff_garbage_collected_tonnes,dropoff_recycling_collected_tonnes,premises_with_kerbside_glass_service_residential,premises_with_kerbside_glass_service_nonresidential,kerbside_glass_service_frequency,kerbside_glass_total_collected_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes
2001-2002,Alpine Shire Council,12788.0,4769.0,0.0,4741.0,,Weekly,2343.0,No,4741.0,,,684.5,683.0,210.0,33.0,380.0,60.0,,,,,,,,,,,,,,
2001-2002,Ararat Rural City Council,11521.0,5134.0,385.0,3820.0,350.0,Weekly,3434.24,No,3096.0,,Fortnightly,615.2,587.0,403.2,43.2,48.8,120.0,,,,,,,,,,,,,,
2001-2002,Ballarat City Council,83000.0,32370.0,0.0,32370.0,,Weekly,16000.0,No,32367.0,,,6100.0,4840.0,1223.0,279.0,2859.0,479.0,,,,,,,,,,,,,,
2001-2002,Banyule City Council,114222.0,44786.0,4888.0,44786.0,,Weekly,19134.0,No,44786.0,,,10872.0,10231.0,3284.0,495.0,5841.0,611.0,44786.0,Fortnightly,No,6517.0,6517.0,,,,,,,,861.0,753.0
2001-2002,Bass Coast Shire Council,23175.0,19000.0,1697.0,17600.0,750.0,Weekly,5087.0,No,17375.0,975.0,Fortnightly,2490.0,2490.0,483.0,120.0,1215.0,114.0,,,,,,,,,,,,17600.0,310.2,164.28
2001-2002,Baw Baw Shire Council,35000.0,11786.0,5864.0,11231.0,517.0,Weekly,8388.0,No,10669.0,,Weekly,1406.9,1060.4,170.68,43.78,785.59,60.39,11231.0,Monthly,No,583.35,583.35,,,,,,,11231.0,1136.96,489.6
2001-2002,Bayside City Council,91000.0,36471.0,2829.0,38600.0,2829.0,Weekly,22180.0,No,35685.0,,Weekly,8005.0,7748.7,3154.0,274.0,3995.0,325.7,20466.0,Fortnightly,,7800.0,7800.0,,,,,,,38600.0,1600.0,1000.0
2001-2002,Boroondara City Council,158000.0,62000.0,5500.0,65000.0,5000.0,Weekly,38107.0,No,61500.0,5500.0,,16749.0,16023.0,4538.0,300.0,10057.0,1597.0,62000.0,Monthly,No,9129.0,9129.0,,,,,,,62000.0,2053.0,1513.0
2001-2002,Brimbank City Council,169000.0,55224.0,3491.0,55224.0,,Weekly,41550.0,No,55224.0,,,9886.0,9886.0,3010.0,515.0,4921.0,1440.0,55224.0,Bi-annual,No,2200.0,2200.0,,,,,,,55224.0,4560.0,3840.0
2001-2002,Buloke Shire Council,7600.0,2898.0,453.0,2646.0,,Weekly,1776.0,No,2646.0,362.0,,247.0,237.0,73.01,8.19,142.25,13.6,,,,,,,,,,,,,,
