Financial Year,Material Type,Material Name,Source Sector,Disposal,International Export,Interstate Export,Recoverd locally (including Waste to Energy),Total Generation
2015-2016,"Aggregate, masonry and soils",Asphalt,CND,952.985331,0.0,0.0,618151.0,619103.985331
2015-2016,"Aggregate, masonry and soils",Asphalt,CNI,2965.628156,0.0,0.0,0.0,2965.628156
2015-2016,"Aggregate, masonry and soils",Asphalt,MSW,739.857607,0.0,0.0,8436.0,9175.857607
2015-2016,"Aggregate, masonry and soils",Bricks,CND,26941.761628,0.0,0.0,424778.0,451719.761628
2015-2016,"Aggregate, masonry and soils",Bricks,CNI,25397.173311,0.0,0.0,0.0,25397.173311
2015-2016,"Aggregate, masonry and soils",Bricks,MSW,48596.516311,0.0,0.0,2000.0,50596.516311
2015-2016,"Aggregate, masonry and soils",Concrete,CND,24507.585225,0.0,0.0,2340192.0,2364699.585225
2015-2016,"Aggregate, masonry and soils",Concrete,CNI,30008.665614,0.0,0.0,0.0,30008.665614
2015-2016,"Aggregate, masonry and soils",Concrete,MSW,394.552918,0.0,0.0,33668.0,34062.552918
2015-2016,"Aggregate, masonry and soils",Plaster,CND,14567.188354,0.0,0.0,36163.0,50730.188354
2015-2016,"Aggregate, masonry and soils",Plaster,CNI,20948.014643,0.0,0.0,82.0,21030.014643
2015-2016,"Aggregate, masonry and soils",Plaster,MSW,4382.288384,0.0,0.0,623.0,5005.288384
2015-2016,"Aggregate, masonry and soils",Rubble,CND,9273.177167,0.0,0.0,579988.0,589261.177167
2015-2016,"Aggregate, masonry and soils",Rubble,CNI,13251.032576,0.0,0.0,2552.0,15803.032576
2015-2016,"Aggregate, masonry and soils",Rubble,MSW,2960.195253,0.0,0.0,0.0,2960.195253
2015-2016,"Aggregate, masonry and soils",Soil and natural materials,CND,690901.627883,0.0,0.0,88460.0,779361.627883
2015-2016,"Aggregate, masonry and soils",Soil and natural materials,CNI,100786.348888,0.0,0.0,10937.0,111723.348888
2015-2016,"Aggregate, masonry and soils",Soil and natural materials,MSW,15425.46705,0.0,0.0,800.0,16225.46705
2015-2016,Glass,Container glass,CND,640.836609,4.324581,0.0,519.0,1164.16119
2015-2016,Glass,Container glass,CNI,26444.690682,114.012481,0.0,20140.0,46698.703163
2015-2016,Glass,Container glass,MSW,38785.091589,3046.662938,0.0,161095.0,202926.754527
2015-2016,Glass,Other glass,CND,3126.533385,0.0,0.0,0.0,3126.533385
2015-2016,Glass,Other glass,CNI,12978.985613,0.0,0.0,0.0,12978.985613
2015-2016,Glass,Other glass,MSW,38406.343195,0.0,0.0,0.0,38406.343195
2015-2016,Metals,Aluminium,CND,3693.393474,0.0,0.0,0.0,3693.393474
2015-2016,Metals,Aluminium,CNI,16415.94963,0.0,0.0,35080.0,51495.94963
2015-2016,Metals,Aluminium,MSW,20937.636684,0.0,0.0,1667.0,22604.636684
2015-2016,Metals,Ferrous,CND,15815.61153,27397.447723,0.0,88786.0,131999.059253
2015-2016,Metals,Ferrous,CNI,53355.471094,132567.532192,0.0,174649.38,360572.383286
2015-2016,Metals,Ferrous,MSW,35171.002517,84982.020085,0.0,126015.7,246168.722602
2015-2016,Metals,Other metals,CND,0.0,620.239259,0.0,20333.0,20953.239259
2015-2016,Metals,Other metals,CNI,0.0,8282.745562,0.0,415810.0,424092.745562
2015-2016,Metals,Other metals,MSW,0.0,1279.015179,0.0,28602.0,29881.015179
2015-2016,Organics,Food organics,CND,2852.554662,0.0,0.0,0.0,2852.554662
2015-2016,Organics,Food organics,CNI,232993.105428,0.0,0.0,61120.24,294113.345428
2015-2016,Organics,Food organics,MSW,636274.535197,0.0,0.0,4852.23,641126.765197
