Council,Training_Provider_Name,Approved_Body,Training_Location,Phone,Email,Website,Services_Offered,Type,Registration_Fee_Discount_Eligible,Notes
City of Melbourne,Command Dog Training School,AAPDT,Gasworks Park Albert Park,(03) 9877 6522,office@dogtraining.com.au,https://dogtraining.com.au,"Puppy School, Basic Obedience, Intermediate, Advanced, Agility",Group & Private,Yes,Award-winning established 1989 - Multiple venues
City of Melbourne,Melbourne Dog Trainers,AAPDT,Various Melbourne locations,03 8609 9700,bookings@melbournedogtrainers.com.au,https://melbournedogtrainers.com.au,"Puppy Pre-School, Basic Obedience, Advanced, Private Consultations",Group & Private,Yes,Government-approved for registration incentive
City of Melbourne,Positive K9 Training,AAPDT,Multiple venues,0403 727 981,chris@positivek9training.com.au,https://positivek9training.com.au,"Puppy Training, Obedience, Behaviour Modification",Group & Private,Yes,National Dog Trainers Federation qualified
City of Melbourne,Underdog Training & Behaviour,AAPDT,Various locations,0402 112 105,info@underdogtraining.com.au,https://underdogtraining.com.au,"Group Classes, Private Sessions, Puppy Pre-School, Behaviour Consultations",Group & Private,Yes,Award-winning nationally qualified trainers
City of Melbourne,Victorian Dog Training Academy,AAPDT,In-home service,Contact via website,info@vdta.com.au,https://vdta.com.au,"In-Home Private Training, Behaviour Problems",Private In-Home,Yes,Specializes in private in-home training
City of Port Phillip,Command Dog Training School,AAPDT,Gasworks Park Albert Park,(03) 9877 6522,office@dogtraining.com.au,https://dogtraining.com.au,"Puppy Socialisation, Obedience Training",Group,Yes,Multiple venues across Melbourne
City of Port Phillip,Melbourne Dog Trainers,AAPDT,Albert Park and surrounding areas,03 8609 9700,bookings@melbournedogtrainers.com.au,https://melbournedogtrainers.com.au,"Puppy Pre-School, Basic/Advanced Obedience",Group & Private,Yes,South Yarra training ground available
City of Port Phillip,Positive K9 Training,AAPDT,Albert Park area,0403 727 981,chris@positivek9training.com.au,https://positivek9training.com.au,"Puppy Training, Obedience, Behaviour Modification",Group & Private,Yes,Government accredited trainers
City of Port Phillip,Underdog Training & Behaviour,AAPDT,Port Phillip area,0402 112 105,info@underdogtraining.com.au,https://underdogtraining.com.au,"Group Classes, Private Sessions, Behaviour Consultations",Group & Private,Yes,Award-winning service
City of Port Phillip,Victorian Dog Training Academy,AAPDT,In-home service,Contact via website,info@vdta.com.au,https://vdta.com.au,In-Home Private Training,Private In-Home,Yes,In-home service available
City of Port Phillip,D.O.G.S of Vic,Minister-Approved,Albert Park Lake,(03) 9898 2100,info@dogsofvic.com.au,https://dogsofvic.com.au,"Puppy Socialisation, Obedience Training",Group,Yes,Located at Albert Park Lake
City of Port Phillip,Hobsons Bay Obedience Dog Club,Community Club,Garden City Reserve Port Melbourne,0412 696 023,info@hbodc.asn.au,https://hbodc.asn.au,"Socialisation, Practical Dog Training",Group,Yes,Not-for-profit - Sundays 10-11am
City of Port Phillip,Kira Canine Code,AAPDT,Port Melbourne / South Yarra / Caulfield,0400 354 092,kira@caninecode.com.au,https://caninecode.com.au,"Puppy Training, Behaviour Consultation",Private,Yes,AAPDT Vice President
City of Port Phillip,K9 Coach,Minister-Approved,In-home service,(03) 9889 8555,info@k9coach.com.au,https://k9coach.com.au,"Puppy Training, Behaviour Problems",Private In-Home,Yes,Positive reinforcement specialist
City of Port Phillip,Secret Dog Business,Minister-Approved,Port Phillip service area,1300 223 364,info@secretdogsbusiness.com,https://secretdogsbusiness.com,Dog & Puppy Training,Group & Private,Yes,Established training service
